epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2123.25,1.45215,0.69858,1.06657,0.78081,0.71619,0.75214,0.35532,2.00699,0.89945,1.34642,0.00115455,0.00115455,0.00115455
99,2142.98,1.43567,0.69738,1.0612,0.77454,0.67188,0.75121,0.35582,2.0192,0.90959,1.34054,0.00115172,0.00115172,0.00115172
100,2164.12,1.41523,0.67573,1.05066,0.77324,0.70869,0.75467,0.36479,2.01527,0.90577,1.33727,0.00114889,0.00114889,0.00114889
101,2184.89,1.42357,0.68503,1.04169,0.77312,0.73702,0.76607,0.36732,1.98061,0.86913,1.33037,0.00114606,0.00114606,0.00114606
102,2205.76,1.41837,0.68325,1.06323,0.77003,0.70142,0.75137,0.35269,2.02141,0.91123,1.33361,0.00114323,0.00114323,0.00114323
103,2226.66,1.40978,0.68549,1.04652,0.75967,0.69903,0.74308,0.34068,2.04695,0.91808,1.36885,0.0011404,0.0011404,0.0011404
104,2246.7,1.44013,0.69391,1.05956,0.75231,0.72862,0.76264,0.35602,2.03114,0.90885,1.35254,0.00113757,0.00113757,0.00113757
105,2266.82,1.42137,0.68512,1.0575,0.7852,0.68458,0.74571,0.33456,2.0726,0.91438,1.38781,0.00113474,0.00113474,0.00113474
106,2289.95,1.44071,0.6878,1.05853,0.82303,0.65962,0.7558,0.34476,2.05976,0.92127,1.36298,0.00113191,0.00113191,0.00113191
107,2309.37,1.40946,0.68732,1.05117,0.73919,0.6919,0.75455,0.35238,2.03574,0.89801,1.34779,0.00112908,0.00112908,0.00112908
108,2330.63,1.38486,0.66881,1.04176,0.77199,0.72315,0.74928,0.33068,2.0211,0.88468,1.35371,0.00112625,0.00112625,0.00112625
109,2350.23,1.38656,0.68017,1.04601,0.76594,0.72362,0.75085,0.34131,2.03764,0.89288,1.3616,0.00112342,0.00112342,0.00112342
110,2372.33,1.40129,0.68582,1.04855,0.78972,0.74185,0.76783,0.35295,2.03459,0.91312,1.36305,0.00112059,0.00112059,0.00112059
111,2392.49,1.38963,0.6831,1.03759,0.84695,0.69333,0.78262,0.35239,2.05872,0.92576,1.3768,0.00111776,0.00111776,0.00111776
112,2412.53,1.37839,0.67394,1.04392,0.79755,0.72773,0.79006,0.3443,2.04023,0.92683,1.36044,0.00111493,0.00111493,0.00111493
113,2433,1.38947,0.68057,1.05208,0.74432,0.72347,0.73982,0.32081,2.09448,0.9372,1.38059,0.0011121,0.0011121,0.0011121
114,2453.42,1.40098,0.67815,1.04438,0.81247,0.73026,0.77885,0.33814,2.05655,0.9118,1.36422,0.00110928,0.00110928,0.00110928
115,2474.56,1.37517,0.67023,1.0342,0.77701,0.72543,0.78257,0.34893,2.01387,0.92184,1.34723,0.00110645,0.00110645,0.00110645
116,2496.05,1.37313,0.66084,1.04393,0.84397,0.69081,0.78454,0.36006,2.06205,0.90793,1.36643,0.00110362,0.00110362,0.00110362
117,2515.49,1.35719,0.66544,1.04002,0.83577,0.7047,0.79066,0.36866,2.0424,0.86964,1.3662,0.00110079,0.00110079,0.00110079
118,2537.02,1.36737,0.67164,1.04239,0.85694,0.71573,0.77936,0.35648,2.02828,0.88263,1.37317,0.00109796,0.00109796,0.00109796
119,2556.11,1.35946,0.64882,1.03384,0.80781,0.6961,0.79246,0.35687,2.02133,0.88715,1.35679,0.00109513,0.00109513,0.00109513
